title,year,synopsis
Sophie: A Murder in West Cork,2021,A shocking murder in rural Ireland sets off an increasingly convoluted quest for justice that spans decades and cuts across national borders.
Somos.,2021,"The lives of the people of Allende, a Mexican border town, are overtaken by a powerful cartel&#39;s operations, leading to tragedy. Inspired by true events."
America: The Motion Picture,2021,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.
The Ice Road,2021,"To save a team of miners trapped underground, a down-on-his-luck ice road trucker joins a mission across treacherous terrain to deliver rescue equipment."
Sex/Life,2021,A woman&#39;s daring sexual past collides with her married-with-kids present when the bad-boy ex she can&#39;t stop fantasizing about crashes back into her life.
Sisters on Track,2021,Three track star sisters face obstacles in life and in competition as they pursue Junior Olympic dreams in this extraordinary coming of age journey.
Jiva!,2021,"A talented street dancer from Umlazi, Durban must confront her fears and deal with family objections to pursue her dancing dreams."
The Seventh Day,2021,An inexperienced priest teams up with a hardened exorcist to stop the demonic possession of a young boy. But darkness lies where they least expect it.
The House of Flowers: The Movie,2021,The De La Mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance.
Murder by the Coast,2021,"In 1999, teen Rocío Wanninkhof is murdered. Her mother&#39;s ex-partner, Dolores Vázquez, is suspected. Did she do it? A second victim reveals the truth."
Good on Paper,2021,"After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful... and possibly too good to be true."
This Is Pop,2021,"Uncover the real stories behind your favorite pop songs as this docuseries charts the impact of the festival scene, Auto-Tune, boy bands and more."
"Nevertheless,",2021,The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.
The World&#39;s Most Amazing Vacation Rentals,2021,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
So Not Worth It,2021,"New friends, new loves and new experiences mix together inside a colorful college dormitory in Korea that&#39;s home to students from around the world."
Jagame Thandhiram,2021,"When a clever, carefree gangster is recruited to help an overseas crime lord take down a rival, he is caught off guard by the moral dilemmas that follow."
Fatherhood,2021,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story."
Katla,2021,The catastrophic eruption of subglacial volcano Katla turns a nearby community’s world upside down as mysteries begin to emerge from the ice.
Elite Short Stories: Carla Samuel,2021,"Samuel attempts a big, romantic gesture at the airport in order to persuade Carla not to board her flight to London."
Fin,2021,What starts as a reunion between estranged friends quickly turns ominous when an explosion in the night sets off a series of eerie events.
Elite Short Stories: Omar Ander Alexis,2021,"Now in remission, Ander is set on spending his summer helping Alexis, his chemo partner, go through treatment."
Penguin Town,2021,"In a picturesque South African town, an eclectic group of endangered penguins flock together to find mates, raise families and mix with the locals."
Security,2021,"After the assault of a young woman in their seaside town, a security expert and his family get caught in a powerful riptide of secrets and lies."
Headspace: Unwind Your Mind,2021,"Do you want to relax, meditate or sleep deeply? Personalize the experience according to your mood or mindset with this Headspace interactive special."
Power Rangers Dino Fury,2021,"With the prehistoric force of the dinosaurs, a new crew of Power Rangers must deal with a menacing army of alien creatures attacking Earth."
Fuga de cerebros 2,2011,Alfonso faces the same romantic predicament as his brother Emilio when the love of his life leaves for Harvard. Nothing the brain squad can&#39;t fix!
Fuga de cerebros,2009,"When shy guy Emilio learns the girl of his dreams is going to Oxford, he forges a scholarship with the help of his misfit friends so he can attend too."
Hasta que la boda nos separe,2020,"After his girlfriend finds a wedding planner&#39;s business card, Carlos makes a hasty proposal and decides to hire an unlikely planner: his secret lover."
Wish Dragon,2021,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.
Skater Girl,2021,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete."
Manifest,2020,"When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities."
Trese,2021,"In Manila, where dark supernatural forces pervade the criminal underworld, it’s up to Alexandra Trese to keep the peace — but there’s a storm brewing."
"Fresh, Fried & Crispy",2021,"Passionate about food and ready for fun, critic Daym Drops drops in on America&#39;s smokin&#39; hot spots for the best, freshest takes on fried food."
Awake,2021,"After a global event wipes out humanity&#39;s ability to sleep, a troubled ex-soldier fights to save her family as society and her mind spiral into chaos."
Les mythos,2011,"This off-kilter comedy follows the misadventures of three friends who hire themselves out as bodyguards, despite having no experience."
Tales of the Night,2011,"In these richly animated tales, three friends meet in an old cinema, where magic brings to life the adventures of princesses, sorcerers and dragons."
Voir la mer,2011,"Two brothers go on a road trip across France in a camper van and come across lovely Prudence, who tags along and frolics with both siblings."
An Ordinary Execution,2010,"Having developed a reputation for a near-mystical ability to heal, a beautiful Russian doctor is recruited to tend to ailing dictator Joseph Stalin."
Teen&#39;s Confessions,2013,Four sisters work together to raise rent money after learning they have to move to another neighborhood in this coming-of-age drama based on the series.
Xtreme,2021,"In this fast-paced and action-packed thriller, a retired hitman — along with his sister and a troubled teen — takes revenge on his lethal stepbrother."
Trippin&#39; with the Kandasamys,2021,"To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples&#39; getaway. But it comes with all kinds of surprises."
Sweet & Sour,2021,"Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive."
Sweet Tooth,2021,"On a perilous adventure across a post-apocalyptic world, a lovable boy who&#39;s half-human and half-deer searches for a new beginning with a gruff protector."
Dancing Queens,2021,"A dancer who gets a job cleaning at a struggling drag club dreams of being in the show, and her talent catches an ambitious choreographer&#39;s eye."
Carnaval,2021,"After a breakup, an influencer takes her friends on a free trip to Bahia&#39;s vibrant Carnival, where she learns life&#39;s not just about social media likes."
Grace: The Possession,2014,Grace escapes her strict upbringing and heads to college. But her new life is plagued by demonic forces bent on dominating her very existence.
Crash Pad,2017,"A hopeless romantic thinks he finds love. But when she reveals he&#39;s a tool against her cheating husband, he never expected to be roommates with the guy."
On Becoming a God in Central Florida,2019,"Plucky water park worker Krystal Stubbs works her way up the ladder of FAM, a cultish, profitable pyramid scheme that once bankrupted her family."
Blue Miracle,2021,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition."
Eden,2021,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished."
Ghost Lab,2021,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist."
Mad for Each Other,2021,"Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it&#39;s impossible to stay out of each other&#39;s way."
Army of the Dead,2021,"After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever."
American Outlaws,2001,"In the wake of the Civil War, Jesse James leads a feisty group of ranchers in a fight against a railroad baron bent on seizing their land at any cost."
Plans for Tomorrow,2010,"A look at a momentous day in the intertwining lives of four women, who must each make personal decisions that could affect their lives forever."
Jungle Beat: The Movie,2021,"When a lost and lonely alien crash-lands on Earth, his new crew of talking animal friends helps him get back home — and try to save the world!"
The Strange House,2020,"When a big-city family moves to a remote town, two young brothers and their new friends try to solve the menacing mystery that haunts their home."
The Woman in the Window,2021,"Confined to her home by agoraphobia, a psychologist becomes obsessed with her new neighbors — and solving a brutal crime she witnesses from her window."
Halston,2021,His name built an empire. His style defined an era. American fashion designer Halston skyrockets to fame before his life starts to spin out of control.
Ferry,2021,"Before he built a drug empire, Ferry Bouman returns to his hometown on a revenge mission that finds his loyalty tested — and a love that alters his life."
Oxygen,2021,"After waking up in a cryogenic unit, Liz fights to survive and remember who she is before her oxygen runs out."
Mine,2021,"Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy."
Super Me,2021,A struggling screenwriter discovers his lucrative ability to bring antiques from his dreams into the real world — but his new life soon unravels.
One in a thousand,2020,"A young woman in a housing project in northern Argentina is drawn to a mysterious former resident who&#39;s come back: a tough, street-smart queer girl."
Monster,2021,A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him.
Jupiter&#39;s Legacy,2021,"They&#39;re the first generation of superheroes. But as they pass the torch to their children, tensions are rising — and the old rules no longer apply."
And Tomorrow the Entire World,2020,A law student joins an anti-fascist group and finds herself sucked into increasingly dangerous situations and drawn more and more to violence.
Silver Skates,2020,"On the frozen rivers and canals of St. Petersburg, a petty thief on skates warms the heart of an aristocrat’s daughter as forces try to keep them apart."
Ispansi!,2010,A woman from a conservative family and a communist meet while traveling with a convoy of children sent to the Soviet Union amidst the Spanish Civil War.
StartUp,2018,An attempt to launder stolen money finances a cryptocurrency that puts entrepreneurs in business with a corrupt FBI agent and a Miami gang.
The Good Doctor,2019,"A talented surgeon with autism and savant syndrome joins a prestigious hospital, where he faces skepticism from both the patients and staff."
I Hate Kids,2019,"Days before getting married, a renowned author learns he has a 13-year-old son. Together, they embark on a road trip to find the biological mother."
Machuca,2005,"In a country divided, two young boys from opposite worlds form an unlikely friendship as they come of age in a polarized Chile in 1973."
Misbehaviour,2020,"Fed up with sexist beauty standards, a group of women take on the pageant world when they protest the 1970 Miss World Competition. Based on a true story."
Believe Me: The Abduction of Lisa McVey,2018,"After a horrifying kidnapping and narrow escape, a Florida teen struggles to convince family and authorities of her ordeal. Based on true events."
The Mitchells vs. The Machines,2021,A robot apocalypse put the brakes on their cross-country road trip. Now it’s up to the Mitchells — the world’s weirdest family — to save the human race.
The Innocent,2021,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare."
Here and There,2012,"After a long spell working in the U.S., a migrant worker returns to his hometown in Mexico to reconnect with his family and make a living through music."
An Autumn Without Berlin,2015,June returns home after time abroad to find that her agoraphobic boyfriend has become even more insular and her family has changed in her absence.
Fatma,2021,"Reeling from tragedy, a nondescript house cleaner embarks on a murderous streak as she searches for her missing husband and reckons with old wounds."
Coda,2019,"A recently widowed concert pianist dealing with stage fright finds his way with the help of a dogged, free-spirited magazine writer who&#39;s profiling him."
Your Eyes Tell,2020,"A woman who lost her sight in an accident and an ex-kickboxer with a dark past find solace in each other, even as the past threatens to tear them apart."
Stowaway,2021,A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.
Zero,2021,"A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."
Tell Me When,2021,Workaholic Will puts his humdrum life in LA on hold to fulfill his grandpa&#39;s last wish: visiting Mexico City&#39;s most iconic sights and falling in love.
The Kindness of Strangers,2019,"After fleeing an abusive husband, a mother and her sons find love, comfort and kindness with a group of strangers struggling to survive in wintry NYC."
Barbie & Chelsea: The Lost Birthday,2021,"When Barbie’s sister Chelsea thinks her birthday has been skipped, she hunts for a magic gem on a jungle island that will grant her wish to get it back."
Into the Beat,2020,A teen ballerina discovers hip-hop by chance and is faced with an impossible choice: Does she follow her parents’ footsteps... or her newfound passion?
The Souvenir,2019,"In the early &#39;80s, a sheltered young film student begins to find her voice as she becomes romantically involved with a sophisticated yet dubious man."
Radioactive,2019,"Fueled by a brilliant mind and a fierce love, Marie Curie teams up with husband Pierre on a scientific journey that will alter the course of history."
Ride or Die,2021,"Rei helps the woman she’s been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire."
Walking Vengeance,2008,A woman and her three partners-in-crime plan a revenge heist against her violent narco husband in order to get rid of him and steal his money.
Killer Housewives,2001,"In this dark comedy, a housewife enlists the help of three unlikely sidekicks to carry out the ultimate plan to become a widow… and be with her lover."
Hormigas en la Boca,2005,"In 1958, an ex-con convicted of robbery travels to Cuba to find the woman who betrayed him and recover his loot amidst the country&#39;s political upheaval."
Prime Time,2021,"On New Year’s Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air."
Love and Monsters,2021,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex."
The Baker and the Beauty,2020,"A Miami baker and a fashionista try to make romance work despite the heat they face from jealous exes, prying family members and invasive paparazzi."
Night in Paradise,2021,"Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons."
What Lies Below,2020,"Back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother&#39;s too-perfect new lover."
Run,2021,"Desiring freedom after years of isolated medical care, teenager Chloe suspects her mother might be holding her back — and harboring sinister secrets."
The Serpent,2021,"In the 1970s, merciless killer Charles Sobhraj preys on travelers exploring the ""hippie trail"" of South Asia. Based on shocking true events."
Sky High,2021,"After falling for Estrella, Ángel, a mechanic from the Madrid suburbs, dives into a world of heists and becomes the target of a relentless detective."
Madame Claude,2021,"In 1960s Paris, Madame Claude&#39;s influence extends beyond the world of sex work — until an affluent young woman threatens to change everything."
Concrete Cowboy,2021,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys."
Mystery Men,1999,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
SHAMAN KING,2021,"Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King."
Tokyo Godfathers,2003,"After finding an abandoned baby on Christmas Eve, three homeless people go in search of the child&#39;s parents, meeting a host of oddballs along the way."
Greed,2019,A British billionaire fashion magnate tries to salvage his tarnished public image by throwing himself a wildly extravagant birthday bash in Greece.
Octonauts & the Ring of Fire,2021,"When red-hot volcanoes start a chain reaction of disasters across the ocean, the Octonauts must work together to face their biggest challenge yet."
Bad Trip,2021,"In this hidden-camera prank comedy, two best friends bond on a wild road trip to New York as they pull real people into their raunchy, raucous antics."
Black Is Beltza,2018,A young Basque man is radicalized in 1960s America after being forbidden from participating in a parade on racial grounds.
El Club,2015,"At a seaside home for priests known by the Church to be criminals, a new arrival threatens to expose the truth. Or is he there to keep it hidden?"
Country Comfort,2021,"After hitting the skids in her career, an aspiring country singer finds new life as a nanny for a handsome widower and his five charming children."
Fatale,2020,"A one-night stand in Las Vegas turns into a nightmare for a married, successful sports agent when the stranger he cheated with wreaks havoc on his life."
Skylines,2020,"When a mysterious alien virus begins to endanger humanity, an elite team of soldiers launches into space to end the threat for good."
Deadly Illusions,2021,"After a bestselling novelist suffering from writer&#39;s block hires a new nanny for her children, the line between fiction and reality starts to blur."
The One,2021,"Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service."
Quiet,2020,The lives of three Chilean teenage misfits converge as they try to find their place in an unequal society through hip-hop and lasting friendships.
The Block Island Sound,2020,"On an island, a fisherman&#39;s family faces horrors and dark truths when an ominous force begins killing the wildlife and puts their own lives in danger."
Dealer,2021,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.
Bombay Rose,2021,"Amidst the bustle of a magnetic and multifaceted city, the budding love between two dreamers is tested."
Vico C,2017,"The true story of Vico C, the first Spanish-language rapper and hip-hop and reggaeton pioneer, from his modest beginnings to his international success."
Dogwashers,2021,"When a narco past his prime refuses to pay a debt to an upstart, only a secret stash of money can save his men. But guess what the gardener just found?"
Moxie,2021,"Inspired by her mom&#39;s rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school."
The Bold Type,2020,"At a women&#39;s magazine in New York, three millennials juggle their careers, romance, friendships and big-city life while finding their own voices."
The Girl on the Train,2021,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.
Fuga,2006,"A struggling music student discovers and tries to complete an unfinished symphony begun by a famous composer, whose career was ended by a past trauma."
The Last Bastion,2018,"The Robles family, born and raised in the Americas, experiences the highs and lows of the revolutionary drive to Peru&#39;s independence."
Above Suspicion,2019,The relationship between a drug-dealing informant and an FBI agent spirals out of control in small-town Kentucky. Based on a true story.
A Call to Spy,2019,"After France falls to the Nazis, two women seek to support the war effort by spying for a secret agency under Churchill. Based on a true story."
The Mole Agent,2020,A widower in his 80s is hired by a private investigator to infiltrate a nursing home and find out if its caretakers are committing elder abuse.
I Care a Lot,2021,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.
Sisyphus,2021,An unfathomable incident introduces a genius engineer to dangerous secrets of the world — and to a woman from the future who&#39;s come looking for him.
Behind Her Eyes,2021,A single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while secretly befriending his mysterious wife.
The Crew,2021,Life in the garage swerves off track for a NASCAR crew chief and his tight-knit racing team when a new boss steps in and shakes things up.
New Amsterdam,2019,"America&#39;s oldest hospital welcomes a new maverick director in Dr. Max Goodwin, who steps in to change the status quo and save patients&#39; lives."
The Big Day,2021,"For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry."
Capitani,2019,"In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl."
Lassie Come Home,2020,"Facing trouble in a new home, a dog named Lassie takes off for an adventure to find her most beloved companion."
News of the World,2021,A Civil War veteran who travels from town to town reading the news undertakes a perilous journey across Texas to deliver an orphaned girl to a new home.
Space Sweepers,2021,"Chasing after space debris and faraway dreams in year 2092, four misfits unearth explosive secrets during the attempted trade of a wide-eyed humanoid."
"Strip Down, Rise Up",2021,"In an effort to reclaim their bodies and lives, a group of women explore the intersections of movement and meaning in a powerful pole dancing program."
Malcolm & Marie,2021,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning."
Invisible City,2021,"After a family tragedy, a man discovers mythical creatures living among humans â€” and soon realizes they hold the key to his mysterious past."
Firefly Lane,2021,Best friends Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their 40s.
Black Beach,2020,A lawyer with a promising future is forced to deep dive into his past when he agrees to negotiate with an old friend turned kidnapper.
Kid Cosmic,2021,A boy&#39;s superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can&#39;t do it alone.
We Are: The Brooklyn Saints,2021,A Brooklyn youth football program and its selfless coaches provide a safe haven for kids to compete and learn lessons that will take them far in life.
The Dig,2021,"On the eve of World War II, a British widow hires a self-taught archaeologist to dig up mysterious formations on her land, leading to a staggering find."
Below Zero,2021,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures."
Sonic the Hedgehog,2020,A small-town sheriff helps an alien hedgehog with supersonic speed outrun a mad doctor who wants the creature&#39;s special powers to dominate the world.
Penguin Bloom,2021,"As a mom copes with the aftermath of a harrowing accident, she finds inspiration from an injured magpie taken in by her family. Based on a true story."
50M2,2021,"Seeking to uncover the truth about his past, a henchman betrays someone close to him and assumes a new identity in a small Istanbul neighborhood."
Go Dog Go,2021,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way."
The White Tiger,2021,The ambitious driver for a rich Indian family uses his wit and cunning to escape from poverty and become an entrepreneur. Based on the bestselling novel.
Fate: The Winx Saga,2021,"Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school."
Spycraft,2021,"The spy game is a serious business, and throughout history, the tools and technologies developed for it have mattered as much as the spies themselves."
Daughter From Another Mother,2021,"After realizing their babies were exchanged at birth, two women develop a plan to adjust to their new lives: creating a single —and peculiar— family."
Sightless,2020,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.
Song Without a Name,2019,"As Peru falls under marshal law in 1988, an indigenous woman&#39;s baby disappears at birth. A journalist risks his life to figure out the wrenching reason."
Outside the Wire,2021,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack."
Double Dad,2020,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is."
Bling Empire,2021,"Follow LA&#39;s wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series."
Nowhere to Run,1993,"After his wrongful conviction for murder, Sam escapes from prison and finds refuge with widowed Clydie and her two children at their isolated farm."
Superstore,2018,"At a big-box megastore in St. Louis, a group of employees with larger-than-life personalities put up with customers, day-to-day duties and each other."
Pinkfong & Baby Shark&#39;s Space Adventure,2019,"Joined by new friends from other planets, Pinkfong and Baby Shark explore outer space and search for missing star pieces to return home."
Night Stalker: The Hunt for a Serial Killer,2021,"Beneath the sunlit glamour of 1985 LA lurks a relentlessly evil serial killer. In this true-crime story, two detectives won&#39;t rest until they catch him."
Sputnik,2020,"After barely surviving a space accident, a Soviet cosmonaut returns to Earth, where it turns out that he has brought something ominous with him."
Al acecho,2019,"Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts."
"Crack: Cocaine, Corruption & Conspiracy",2021,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s."
Lupin,2021,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
Pieces of a Woman,2020,"A heartbreaking home birth leaves a woman grappling with the profound emotional fallout, isolated from her partner and family by a chasm of grief."
Tony Parker: The Final Shot,2020,"This film examines the background and career of Tony Parker, whose determination led him to become arguably the greatest French basketball player."
Surviving Death,2021,"What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena."
Gabby&#39;s Dollhouse,2021,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures."
Midnight Family,2019,"This documentary races through the streets of Mexico City with the Ochoa family, whose ambulance service faces life-or-death situations every night."
What Happened to Mr. Cha?,2021,"With the peak of his career long behind him, an actor clings to his past glory â€” until a sudden wake-up call forces him to face who he&#39;s become."
The Minimalists: Less Is Now,2021,They&#39;ve built a movement out of minimalism. Longtime friends Joshua Fields Millburn and Ryan Nicodemus share how our lives can be better with less.
Headspace Guide to Meditation,2021,"Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice."
Waves,2019,"A tragic death upends the world of a successful suburban family, leaving profound grief in its wake — but also the possibility for new love."
Racetime!,2020,"To save their beloved barn, expert engineer Frankie and his friends take on a cocky, candy-cane-eating newcomer in an epic sled race through the snow ."
Nureyev,2019,"This documentary traces the life of dancer Rudolf Nureyev, from his humble origins to his defection to the West, and includes previously unseen footage."
Full Out 2: You Got This!,2020,"With a championship on the line, Chayse and her gymnastics team look to a local break-dancer for all the right moves to rise above their competition."
Mighty Oak,2020,"As she continues to grapple with the loss of her brother, a band manager wonders if a kid guitar prodigy is the reincarnation of her beloved sibling."
Abe,2019,"Through the mentorship of a local chef, an aspiring teenage cook believes he can find the right recipe to mend the fences between his divided family."
Equinox,2020,"Haunted by visions after her sister vanished with her classmates 21 years before, Astrid begins an investigation that uncovers the dark, eerie truth."
Best Leftovers Ever!,2020,Decadent pasta from day-old fries? Skillful cooks transform tired leftovers into tantalizing new dishes in this wildly creative culinary competition.
A Love So Beautiful,2020,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood."
All My Friends Are Dead,2020,"A group of friends at a New Year’s Eve party go through a whirlwind of events that exposes secrets, breaks hearts — and leads to a shocking outcome."
Cops and Robbers,2020,Animation and activism unite in this multimedia spoken-word response to police brutality and racial injustice.
Like a Boss,2020,Two best friends end up putting their partnership and their beauty business on the line when they partner with a major cosmetics corporation.
Love Song,2020,"Despite past turmoil, a stifled songwriter must write a song for a country star when he meets a struggling singer who could be more than just a muse."
The Magic School Bus Rides Again In the Zone,2020,"Ms. Frizzle&#39;s class sees every show on a pop star&#39;s New Year&#39;s Eve tour, learning about time zones as they attend all her concerts on the same night."
Asphalt Burning,2020,"When the brakes slam on his wedding, Roy accepts a challenge from a new foe to race for his runaway bride at the iconic Nürburgring track in Germany."
Bridgerton,2020,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn&#39;s bestselling novels.
We Can Be Heroes,2020,"When alien invaders capture Earth’s superheroes, their kids must learn to work together to save their parents — and the planet."
Grandma&#39;s Last Wishes,2020,"After Grandma decides it&#39;s time to put her affairs in order, her family clashes over who&#39;ll inherit her house in this sequel to ""Grandma&#39;s Wedding."""
AK vs AK,2020,"After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time."
Malacopa,2018,"A brilliant but painfully shy architect takes a swig from a flask that proves to be magical, unleashing a cocky alter ego who takes over his life."
The Midnight Sky,2020,"In the aftermath of a global catastrophe, a lone scientist in the Arctic races to contact a crew of astronauts with a warning not to return to Earth."
The Guns of Navarone,1961,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
Rhyme Time Town Singalongs,2020,"Love snackable, snap-worthy songs? Sing along with the Rhyme Time Town friends as they use their imaginations and flex their problem-solving skills!"
Lovestruck in the City,2020,"Heart stolen by a free-spirited woman after a beachside romance, a passionate architect sets out to reunite with her on the streets of Seoul."
Sweet Home,2020,"As humans turn into savage monsters and wreak terror, one troubled teen and his apartment neighbors fight to survive â€” and to hold on to their humanity."
Guest House,2020,The only downside to a young couple’s new dream home — and fresh start — is the nightmare of the raucous houseguest in back who refuses to leave.
An Unremarkable Christmas,2020,An accountant and aspiring magician invites his boss to spend Christmas with his family â€” unaware that he&#39;s one of Colombia&#39;s most-wanted criminals.
Run On,2020,"Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life."
The Stand-In,2020,"Her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role."
The Ripper,2020,"In the late 1970s, British police struggle to identify — let alone capture — the serial killer known throughout the world as the Yorkshire Ripper."
How To Ruin Christmas,2020,Prodigal daughter Tumi tries to make things right after completely ruining what should have been her sister&#39;s picture-perfect Christmas wedding.
Tiny Pretty Things,2020,"When an attack brings down the star student at an elite ballet school, her replacement enters a world of lies, betrayal â€” and cutthroat competition."
A California Christmas,2020,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her familyâ€™s land before Christmas."
The Prom,2020,A group of down-on-their-luck Broadway stars shake up a small Indiana town as they rally behind a teen who just wants to attend prom with her girlfriend.
Giving Voice,2020,"Six ambitious student actors audition for the prestigious August Wilson Monologue Competition, culminating in a riveting final round on Broadway."
A Trash Truck Christmas,2020,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone."
Cuidado con lo que deseas,2020,"During a birthday getaway, a young girl receives a jester puppet that magically reveals the chilling, secret behavior of her parents and uncle."
El Cazador,2020,A teenage boy&#39;s sexual awakening becomes a chilling vulnerability when he&#39;s lured into an underworld of blackmail and exploitation.
Rose Island,2020,"An idealistic engineer builds his own island off the coast of Italy and declares it a nation, drawing the attention of the world — and the government."
The Surgeon&#39;s Cut,2020,"Theyâ€™re philosophers, storytellers and pioneers in their fields. Four surgeons reflect on their lives and professions in this inspiring docuseries."
Spirit Riding Free: Ride Along Adventure,2020,Join Lucky and her friends on an interactive mission to save Maricelaâ€™s beloved mare from greedy horse thieves who&#39;ve taken her captive with a wild herd.
Double Team,1997,A counterterrorism operative teams with an eccentric weapons dealer to head to Rome and save his family from a notorious terrorist.
Open Your Eyes,1997,"A womanizer falls madly in love with a beautiful, warmhearted woman but is soon left horribly disfigured in a car accident."
Hover,2018,Global drought has brought civilization to the brink of disaster. Humans turn to drone technology to save them — but the drones have other plans.
Halloween 4: The Return of Michael Myers,1988,"A decade after he terrorized the town of Haddonfield, Michael Myers is back, this time seeking to kill his niece — and anyone who stands in his way."
Abominable,2019,"An orphaned tomboy and her silly sidekicks help an escaped yeti journey across China to return to his Himalayan home, with a hunter in hot pursuit."
